grupo_logico,filas,duplicados_mergeables,duplicados_conflictivos,clasificacion,ids_participacion,atletas_originales,eventos_originales,campos_conflictivos,id_atleta_canonico,id_evento_canonico
433|36|2656|72|Finland|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1132;401135,433,2230;72,,433,2656
452|38|2656|73|France|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1178;382260,452,2230;72,,452,2656
453|36|2656|73|France|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1180;403329,453,2230;72,,453,2656
453|38|2656|73|France|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1182;403331,453,2230;72,,453,2656
454|36|2656|73|France|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1184;492018,454,2230;72,,454,2656
468|7|2389|73|France|Bronze,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1209;374987,468,2389;74,,468,2389
468|7|2390|73|France|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1210;374988,468,2390;75,,468,2390
468|7|2391|73|France|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1211;374989,468,2391;76,,468,2391
487|7|2389|73|France|Bronze,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1250;452563,165763;487,2389;74,,487,2389
487|7|2390|73|France|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1251;452564,165763;487,2390;75,,487,2390
487|7|2391|73|France|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1252;452565,165763;487,2391;76,,487,2391
503|38|2656|70|Unified Team|Bronze,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1288;437630,503,2230;72,,503,2656
503|43|2656|81|Georgia|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1291;437633,503,2230;72,,503,2656
503|50|2656|223|United States|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1294;437636,503,2230;72,,503,2656
507|36|2656|74|West Germany|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1301;395499,507,2230;72,,507,2656
508|36|2656|74|West Germany|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1303;434846,508,2230;72,,508,2656
509|41|2656|83|Germany|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1305;464182,509,2230;72,,509,2656
509|43|2656|83|Germany|Bronze,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1307;464184,509,2230;72,,509,2656
512|38|2656|83|Germany|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1312;495069,512,2230;72,,512,2656
512|41|2656|83|Germany|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1314;495071,512,2230;72,,512,2656
512|43|2656|83|Germany|Bronze,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1316;495073,512,2230;72,,512,2656
512|45|2656|83|Germany|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1318;495075,512,2230;72,,512,2656
514|38|2656|83|Germany|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1321;562430,514,2230;72,,514,2656
526|41|2656|83|Germany|Silver,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1341;562493,526,2230;72,,526,2656
526|43|2656|83|Germany|Bronze,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1343;562495,526,2230;72,,526,2656
536|36|2656|78|Great Britain|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1355;369420,536,2230;72,,536,2656
539|36|2656|78|Great Britain|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1359;380201,539,2230;72,,539,2656
539|38|2656|78|Great Britain|,2,1,0,MERGEABLE_DUPLICATE_CANDIDATE,1361;380203,539,2230;72,,539,2656
